full_name,html_url,description,language,stargazers_count,forks_count,open_issues_count,archived,topics,license,pushed_at,created_at,updated_at,default_branch
deepchem/deepchem,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology",Python,6289,1928,835,False,biology;deep-learning;drug-discovery;hacktoberfest;materials-science;quantum-chemistry,MIT,2025-10-27T18:42:30Z,2015-09-24T23:20:28Z,2025-10-28T17:55:39Z,master
PennyLaneAI/pennylane,https://github.com/PennyLaneAI/pennylane,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Built by researchers, for research. ",Python,2856,706,441,False,autograd;automatic-differentiation;cirq;deep-learning;differentiable-computing;jax;machine-learning;neural-network;optimization;python;pytorch;qiskit;qml;quantum;quantum-chemistry;quantum-computing;quantum-machine-learning;tensorflow,Apache-2.0,2025-10-29T00:27:32Z,2018-04-17T16:45:42Z,2025-10-28T21:29:42Z,master
chemprop/chemprop,https://github.com/chemprop/chemprop,Message Passing Neural Networks for Molecule Property Prediction,Python,2149,691,57,False,chemistry;drug-discovery;machine-learning;neural-networks,NOASSERTION,2025-10-13T17:38:38Z,2019-01-25T23:33:22Z,2025-10-29T04:05:10Z,main
facebookresearch/fairchem,https://github.com/facebookresearch/fairchem,FAIR Chemistry's library of machine learning methods for chemistry ,Python,1800,400,66,False,,NOASSERTION,2025-10-28T20:05:57Z,2019-09-26T04:47:27Z,2025-10-28T23:29:17Z,main
pyscf/pyscf,https://github.com/pyscf/pyscf,Python module for quantum chemistry,Python,1458,650,212,False,,Apache-2.0,2025-10-22T15:03:11Z,2014-05-02T18:42:25Z,2025-10-28T14:32:22Z,master
aspuru-guzik-group/selfies,https://github.com/aspuru-guzik-group/selfies,"Robust representation of semantically constrained graphs, in particular for molecules in chemistry",Python,803,138,5,False,,Apache-2.0,2025-05-17T21:27:32Z,2019-05-31T16:33:37Z,2025-10-28T17:33:35Z,master
awslabs/dgl-lifesci,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology,Python,776,161,32,False,bioinformatics;cheminformatics;deep-learning;dgl;drug-discovery;geometric-deep-learning;graph-neural-networks;molecule,Apache-2.0,2023-11-01T19:32:07Z,2020-04-23T07:14:21Z,2025-10-28T12:46:39Z,master
AstraZeneca/chemicalx,https://github.com/AstraZeneca/chemicalx,A PyTorch and TorchDrug based deep learning library for drug pair scoring. (KDD 2022),Python,754,97,10,False,biology;chemistry;deep-chemistry;deep-learning;drug;drug-discovery;drug-interaction;drug-pair;geometric-deep-learning;geometry;graph-neural-network;machine-learning;pharma;polypharmacy;pytorch;smiles;smiles-strings;torch;torchdrug,Apache-2.0,2023-09-11T08:01:43Z,2021-12-06T15:32:55Z,2025-10-26T08:22:49Z,main
Mariewelt/OpenChem,https://github.com/Mariewelt/OpenChem,OpenChem: Deep Learning toolkit for Computational Chemistry and Drug Design Research,Python,725,120,17,False,computational-biology;computational-chemistry;deep-learning;deep-neural-networks;drug-design;drug-discovery;graph-convolutional-networks;machine-learning;predictive-modeling;pytorch;qsar,MIT,2023-11-26T05:03:36Z,2018-07-10T01:27:33Z,2025-10-28T06:33:52Z,master
CalebBell/thermo,https://github.com/CalebBell/thermo,Thermodynamics and Phase Equilibrium component of Chemical Engineering Design Library (ChEDL),Python,703,121,9,False,chemical-engineering;cheminformatics;chemistry;combustion;density;environmental-engineering;equation-of-state;heat-capacity;mechanical-engineering;molecule;physics;process-simulation;solubility;surface-tension;thermal-conductivity;thermodynamics;vapor-pressure;viscosity,MIT,2025-10-26T18:50:11Z,2016-07-01T16:04:56Z,2025-10-26T17:12:42Z,master
chainer/chainer-chemistry,https://github.com/chainer/chainer-chemistry,Chainer Chemistry: A Library for Deep Learning in Biology and Chemistry,Python,675,132,31,False,biology;chainer;chemistry;deep-learning;graph-convolutional-networks;neural-network;python,MIT,2023-04-20T05:13:47Z,2017-11-28T10:35:09Z,2025-10-26T15:34:54Z,master
bjodah/chempy,https://github.com/bjodah/chempy,⚗ A package useful for chemistry written in Python,Python,611,81,34,False,chemical-formulas;chemical-kinetics;chemical-reaction-model;chemistry;physical-chemistry;python;speciation,BSD-2-Clause,2025-09-22T07:54:32Z,2015-05-25T16:49:18Z,2025-10-22T16:26:36Z,master
MolecularAI/REINVENT4,https://github.com/MolecularAI/REINVENT4,"AI molecular design tool for de novo design, scaffold hopping, R-group replacement, linker design and molecule optimization.",Python,593,173,1,False,ai;astrazeneca;cheminformatics;chemistry;deep-learning;denovo-design;drug-design;drug-discovery;generative-ai;ml;molecule-generation;neural-networks;reinforcement-learning;transfer-learning,Apache-2.0,2025-10-22T06:08:39Z,2023-10-20T06:43:16Z,2025-10-28T12:58:12Z,main
BenevolentAI/guacamol,https://github.com/BenevolentAI/guacamol,Benchmarks for generative chemistry,Python,483,95,13,False,,MIT,2024-02-11T08:59:38Z,2018-11-16T12:45:21Z,2025-10-22T09:20:16Z,master
ReactionMechanismGenerator/RMG-Py,https://github.com/ReactionMechanismGenerator/RMG-Py,Python version of the amazing Reaction Mechanism Generator (RMG).,Python,483,245,56,False,chemistry;chemistry-discovery;kinetics;python;reactions;thermodynamics,NOASSERTION,2025-10-27T06:30:55Z,2009-10-09T21:16:17Z,2025-10-22T16:25:19Z,main
mcs07/PubChemPy,https://github.com/mcs07/PubChemPy,Python wrapper for the PubChem PUG REST API.,Python,462,119,30,False,cheminformatics;chemistry;pubchem;python,MIT,2025-09-08T20:52:27Z,2013-01-06T02:35:45Z,2025-10-28T17:33:33Z,main
MolSSI/cookiecutter-cms,https://github.com/MolSSI/cookiecutter-cms,Python-centric Cookiecutter for Molecular Computational Chemistry Packages,Python,440,91,30,False,computational-chemistry;conda-environment;conda-forge;cookiecutter;github-actions;molecular-sciences;pytest;python-packages,MIT,2025-10-27T01:23:34Z,2018-03-15T14:52:43Z,2025-10-28T21:28:16Z,main
chembl/chembl_webresource_client,https://github.com/chembl/chembl_webresource_client,Official Python client for accessing ChEMBL API,Python,423,97,30,False,chembl;cheminformatics;chemistry;chemoinformatics;python;rest;rest-client,NOASSERTION,2025-01-26T18:07:38Z,2014-04-10T15:00:44Z,2025-10-21T09:34:36Z,master
dewberryants/asciiMol,https://github.com/dewberryants/asciiMol,Curses based ASCII molecule viewer for terminals.,Python,388,12,0,False,ascii;cheminformatics;chemistry;molecules;visualization,BSD-2-Clause,2025-02-17T08:08:58Z,2020-09-03T12:48:52Z,2025-10-24T00:36:07Z,master
cclib/cclib,https://github.com/cclib/cclib,Parsers and algorithms for computational chemistry logfiles,Python,379,175,192,False,computational-chemistry;hacktoberfest;python;quantum-chemistry,BSD-3-Clause,2025-10-25T20:55:26Z,2013-12-29T20:59:14Z,2025-10-27T15:52:03Z,master
lightdock/lightdock,https://github.com/lightdock/lightdock,"Protein-protein, protein-peptide and protein-DNA docking framework based on the GSO algorithm",Python,361,50,4,False,artificial-intelligence;bioinformatics;bioinformatics-tool;chemistry;dna;docking;glowworm-swarm-optimization;molecular-biology;molecular-structures;peptides;protein;protein-design;protein-dna-interactions;protein-docking;protein-protein-interaction;protein-structure;proteomics;structural-bioinformatics;structural-biology;swarm-intelligence,GPL-3.0,2025-09-16T13:44:36Z,2019-09-27T08:10:43Z,2025-10-28T22:49:33Z,master
mcs07/ChemDataExtractor,https://github.com/mcs07/ChemDataExtractor,Automatically extract chemical information from scientific documents,Python,335,120,23,False,chemistry;information-extraction;natural-language-processing;nlp;python;text-mining,MIT,2023-07-27T18:05:13Z,2016-10-02T23:50:01Z,2025-10-28T06:34:06Z,master
