,repo,stars,forks,watchers,open_issues,language,license,archived,disabled,created_at,updated_at,pushed_at,size_kb,has_wiki,has_pages,default_branch,topics,homepage,description,html_url,contributors,closed_issues,issue_resolution_rate,days_since_last_update,commits_window,stars_n,commits_n,contributors_n,issues_n,staleness_n,readme_score,ci_test_score,domain,domain_weight,composite_v2,key,bench_score,pass_score,latency_score,final_score
count,923,923.0,923.0,923.0,923.0,923,835,923,923,923,923,923,923.0,923,923,923,629,465,917,923,923.0,923.0,818.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923,923.0,923.0,923,923.0,10.0,10.0,923.0
unique,923,,,,,1,17,1,1,923,923,922,,2,2,27,622,465,917,923,,,,,,,,,,,,,5,,,920,,,,
top,plotly/dash,,,,,Python,MIT,False,False,2015-04-10T01:53:08Z,2025-10-29T23:03:38Z,2025-10-27T16:27:43Z,,True,False,main,bioinformatics;bioinformatics-pipeline;genomics;global-health;infectious-diseases;next-generation-sequencing;pathogen;research;sequencing,https://plotly.com/dash,Data Apps & Dashboards for Python. No JavaScript Required.,https://github.com/plotly/dash,,,,,,,,,,,,,bio,,,midas,,,,
freq,1,,,,,923,365,923,923,1,1,2,,721,686,442,3,1,1,1,,,,,,,,,,,,,327,,,2,,,,
mean,,292.75947995666303,69.37378114842903,12.04008667388949,32.723726977248106,,,,,,,,139254.5633802817,,,,,,,,0.0,0.0,0.0,269.807150595883,0.0,0.010049239556098108,0.0,0.0,0.0,0.746421850943719,0.7183259804983748,0.0,,0.9806608884073672,0.1812419744180891,,0.010325568797399784,1.0,0.8434999999999999,0.12996705273188225
std,,966.8474322620641,212.6490954445564,27.069235501239163,110.47571434610018,,,,,,,,1288035.1800050617,,,,,,,,0.0,0.0,0.0,305.95599912052285,0.0,0.04002348935141218,0.0,0.0,0.0,0.28755263075237114,0.32974451531225135,0.0,,0.04975315268214582,0.05907499092851443,,0.099164538308268,0.0,0.31807527837926886,0.054416504102350195
min,,50.0,0.0,0.0,0.0,,,,,,,,13.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,,0.9,0.0222944334060302,,0.0,1.0,0.0,0.0156061033842211
25%,,73.0,13.0,3.0,3.0,,,,,,,,4140.0,,,,,,,,0.0,0.0,0.0,16.0,0.0,0.000952104979923,0.0,0.0,0.0,0.5615601503759399,0.50776,0.0,,0.95,0.1350076712174525,,0.0,1.0,0.8983333333333333,0.09450536985221669
50%,,115.0,25.0,6.0,9.0,,,,,,,,21369.0,,,,,,,,0.0,0.0,0.0,134.0,0.0,0.0026907314649997,0.0,0.0,0.0,0.8740601503759399,0.8700000000000001,0.0,,1.0,0.1931890216665977,,0.0,1.0,0.9958333333333333,0.1352323151666183
75%,,241.5,52.0,12.0,28.0,,,,,,,,91167.0,,,,,,,,0.0,0.0,0.0,466.5,0.0,0.007927308854576251,0.0,0.0,0.0,0.9849624060150376,1.0,0.0,,1.0,0.22993174452648568,,0.0,1.0,0.9983333333333332,0.16158160249126868
max,,24207.0,4247.0,496.0,2597.0,,,,,,,,38673975.0,,,,,,,,0.0,0.0,0.0,1064.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.05,0.39,,1.0,1.0,1.0,0.5728499999999999
