repo,stars,forks,watchers,open_issues,language,license,archived,disabled,created_at,updated_at,pushed_at,size_kb,has_wiki,has_pages,default_branch,topics,homepage,description,html_url,contributors,closed_issues,issue_resolution_rate,days_since_last_update,commits_window,stars_n,commits_n,contributors_n,issues_n,staleness_n,readme_score,ci_test_score,domain,domain_weight,composite_v2,key,bench_score,pass_score,latency_score,final_score
plotly/dash,24207,2224,422,579,Python,MIT,False,False,2015-04-10T01:53:08Z,2025-10-29T23:03:38Z,2025-10-29T15:00:09Z,188258,False,False,dev,bioinformatics;charting;dash;data-science;data-visualization;finance;flask;gui-framework;jupyter;modeling;plotly;plotly-dash;productivity;python;react;rstats;technical-computing;web-app,https://plotly.com/dash,Data Apps & Dashboards for Python. No JavaScript Required.,https://github.com/plotly/dash,0,0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.6000000000000001,0.0,other,1.0,0.39,dash,0.9995,1.0,0.9983333333333332,0.5728499999999999
deepchem/deepchem,6289,1927,141,835,Python,MIT,False,False,2015-09-24T23:20:28Z,2025-10-28T17:55:39Z,2025-10-27T18:42:30Z,595246,True,False,master,biology;deep-learning;drug-discovery;hacktoberfest;materials-science;quantum-chemistry,https://deepchem.io/,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology",https://github.com/deepchem/deepchem,0,0,0.0,2,0,0.2582688247712878,0.0,0.0,0.0,0.9981203007518796,1.0,0.0,bio,1.0,0.3014657950294455,deepchem,0.9995,1.0,0.9983333333333332,0.5108760565206117
owkin/PyDESeq2,688,79,9,46,Python,MIT,False,False,2022-11-22T17:14:11Z,2025-10-29T16:17:18Z,2025-10-28T15:47:24Z,1457,True,False,main,bioinformatics;differential-expression;python;rna-seq;transcriptomics,https://pydeseq2.readthedocs.io/en/stable/,A Python implementation of the DESeq2 pipeline for bulk RNA-seq DEA.,https://github.com/owkin/PyDESeq2,0,0,0.0,1,0,0.0264105642256902,0.0,0.0,0.0,0.99906015037594,1.0,0.0,bio,1.0,0.255188127882732,pydeseq2,1.0,1.0,1.0,0.4786316895179123
moshi4/pyCirclize,988,54,8,4,Python,MIT,False,False,2022-12-17T09:21:45Z,2025-10-29T01:05:48Z,2025-10-03T18:12:45Z,61283,False,True,main,bioinformatics;chord-diagram;circos;comparative-genomics;data-visualization;dataviz;genomics;genomics-visualization;matplotlib;microbial-genomics;phylogenetic-trees;python;radar-chart;visualization,https://moshi4.github.io/pyCirclize/,"Circular visualization in Python (Circos Plot, Chord Diagram, Radar Chart)",https://github.com/moshi4/pyCirclize,0,0,0.0,26,0,0.0388293248333816,0.0,0.0,0.0,0.975563909774436,1.0,0.0,other,1.0,0.2553222559441199,pycirclize,0.98,1.0,0.9333333333333332,0.4727255791608838
ParmEd/ParmEd,439,163,30,211,Python,,False,False,2014-03-01T04:37:42Z,2025-10-20T02:29:25Z,2025-08-27T17:25:35Z,170787,True,True,master,,https://parmed.github.io/ParmEd,Parameter/topology editor and molecular simulator,https://github.com/ParmEd/ParmEd,0,0,0.0,63,0,0.0161029929213064,0.0,0.0,0.0,0.9407894736842104,1.0,0.0,ml,1.05,0.2596645232503164,parmed,0.966,1.0,0.8866666666666667,0.4715651662752215
ialbert/bio,74,15,4,0,Python,MIT,False,False,2020-08-01T12:43:26Z,2025-10-15T14:14:31Z,2025-10-15T14:14:27Z,8195,True,False,master,,,Making bioinformatics fun again,https://github.com/ialbert/bio,0,0,,14,0,0.0009935008486153,0.0,0.0,0.0,0.986842105263158,0.91056,0.0,bio,1.0,0.2354669106960388,bio,0.9995,1.0,0.9983333333333332,0.4646768374872271
danforthcenter/plantcv,734,271,45,122,Python,MPL-2.0,False,False,2014-03-14T18:24:23Z,2025-10-29T20:49:51Z,2025-10-29T20:49:50Z,544703,False,False,main,bioinformatics;image-analysis;plant-phenotyping;plantcv;science,,Plant phenotyping with image analysis,https://github.com/danforthcenter/plantcv,0,0,0.0,0,0,0.0283147741855362,0.0,0.0,0.0,1.0,0.7400000000000001,0.0,ml,1.05,0.2274961025789626,plantcv,0.999,1.0,0.9966666666666668,0.4589472718052738
allenai/scispacy,1894,247,45,38,Python,Apache-2.0,False,False,2018-09-24T21:45:52Z,2025-10-28T22:01:28Z,2025-10-01T06:18:20Z,248878,True,True,main,bioinformatics;biomedical;custom-pipes;nlp;scientific-documents;spacy,https://allenai.github.io/scispacy/,A full spaCy pipeline and models for scientific/biomedical documents.,https://github.com/allenai/scispacy,0,0,0.0,28,0,0.0763339818686095,0.0,0.0,0.0,0.9736842105263158,1.0,0.0,bio,1.0,0.2626352174263535,scispacy,0.8884999999999998,1.0,0.6283333333333332,0.4503946521984474
datamol-io/datamol,514,55,14,13,Python,Apache-2.0,False,False,2021-02-23T15:39:33Z,2025-10-18T06:20:12Z,2024-06-10T19:22:38Z,119384,False,True,main,cheminformatics;drug-design;drug-discovery;medicinal-chemistry;molecule;molecules;python;rdkit,https://docs.datamol.io,Molecular Processing Made Easy.,https://github.com/datamol-io/datamol,0,0,0.0,506,0,0.0192076830732292,0.0,0.0,0.0,0.5244360902255639,1.0,0.0,other,1.0,0.2062851456372022,datamol,0.9985,1.0,0.995,0.4439496019460415
PennyLaneAI/pennylane,2857,706,47,444,Python,Apache-2.0,False,False,2018-04-17T16:45:42Z,2025-10-29T18:36:15Z,2025-10-29T22:20:41Z,150808,False,False,master,autograd;automatic-differentiation;cirq;deep-learning;differentiable-computing;jax;machine-learning;neural-network;optimization;python;pytorch;qiskit;qml;quantum;quantum-chemistry;quantum-computing;quantum-machine-learning;tensorflow,https://pennylane.ai,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Built by researchers, for research.",https://github.com/PennyLaneAI/pennylane,0,0,0.0,0,0,0.1161982034192987,0.0,0.0,0.0,1.0,1.0,0.0,chem,0.95,0.2595776586496667,pennylane,0.7,1.0,0.0,0.3917043610547667
kivymd/KivyMD,2414,695,97,87,Python,MIT,False,False,2018-08-29T18:16:24Z,2025-10-29T18:36:51Z,2025-10-26T11:44:03Z,170666,True,False,master,android;app;cross-platform;ios;kivy;kivymd;library;linux;macos;material-design;python;ui;windows,https://kivymd.readthedocs.io,"KivyMD is a collection of Material Design compliant widgets for use with Kivy, a framework for cross-platform, touch-enabled graphical applications. https://youtube.com/c/KivyMD https://twitter.com/KivyMD https://habr.com/ru/users/kivymd https://stackoverflow.com/tags/kivymd",https://github.com/kivymd/KivyMD,0,0,0.0,3,0,0.0978598335886078,0.0,0.0,0.0,0.9971804511278196,1.0,0.0,bio,1.0,0.2692900118305035,kivymd,0.0,,,0.1885030082813524
insitro/redun,559,53,15,34,Python,Apache-2.0,False,False,2021-11-04T00:14:09Z,2025-10-24T14:33:07Z,2025-10-24T14:34:06Z,6482,False,True,main,aws;bioinformatics;data-engineering;data-science;docker;etl;gcp;ml;python;workflow-engine,https://insitro.github.io/redun/,Yet another redundant workflow engine,https://github.com/insitro/redun,0,0,0.0,5,0,0.0210704971643829,0.0,0.0,0.0,0.9953007518796992,1.0,0.0,ml,1.05,0.2664313833518889,redun,0.0,,,0.1865019683463222
google/deepvariant,3537,763,155,6,Python,BSD-3-Clause,False,False,2017-11-23T01:56:22Z,2025-10-27T17:50:49Z,2025-10-21T03:35:02Z,1050248,False,True,r1.9,bioinformatics;deep-learning;deep-neural-network;deepvariant;dna;genome;genomics;machine-learning;ngs;science;sequencing;tensorflow,,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,https://github.com/google/deepvariant,0,0,0.0,8,0,0.1443473941300658,0.0,0.0,0.0,0.9924812030075189,0.92,0.0,bio,1.0,0.266117599126765,deepvariant,0.0,,,0.1862823193887355
histolab/histolab,424,63,6,41,Python,Apache-2.0,False,False,2020-05-09T07:38:51Z,2025-10-15T14:29:15Z,2025-10-27T18:17:36Z,382890,True,True,main,bioinformatics;biology;data-science;digital-pathology;digital-pathology-data;hacktoberfest;pathology;python;research;science-research;wsi,http://histolab.readthedocs.io,Library for Digital Pathology Image Processing,https://github.com/histolab/histolab,0,0,0.0,2,0,0.0154820548909218,0.0,0.0,0.0,0.9981203007518796,1.0,0.0,ml,1.05,0.2655538631060409,histolab,0.0,,,0.1858877041742286
OmicsML/dance,383,39,6,34,Python,BSD-2-Clause,False,False,2022-06-07T20:32:25Z,2025-10-22T16:32:16Z,2025-10-20T16:54:25Z,20620,True,False,main,benchmark;bioinformatics;computational-biology;dance;data-science;deep-learning;graph-neural-networks;machine-learning;multimodality;python;single-cell;single-cell-rna-seq;single-cell-rna-sequencing;spatial-transcriptomics,https://pydance.readthedocs.io,DANCE: a deep learning library and benchmark platform for single-cell analysis,https://github.com/OmicsML/dance,0,0,0.0,9,0,0.0137848242745374,0.0,0.0,0.0,0.9915413533834586,1.0,0.0,ml,1.05,0.264506655202916,dance,0.0,,,0.1851546586420412
MDIL-SNU/SevenNet,198,40,6,21,Python,MIT,False,False,2023-02-16T06:31:53Z,2025-10-26T12:48:18Z,2025-10-28T10:58:07Z,133764,True,False,main,,https://pubs.acs.org/doi/10.1021/acs.jctc.4c00190,SevenNet - a graph neural network interatomic potential package supporting efficient multi-GPU parallel molecular dynamics simulations.,https://github.com/MDIL-SNU/SevenNet,0,0,0.0,1,0,0.006126588566461,0.0,0.0,0.0,0.99906015037594,1.0,0.0,ml,1.05,0.2636878993884305,sevennet,0.0,,,0.1845815295719013
snakemake/snakefmt,180,32,3,13,Python,MIT,False,False,2020-02-28T14:48:47Z,2025-10-29T04:24:32Z,2025-10-29T04:24:28Z,835,True,False,master,bioinformatics;black;code;codeformatter;fmt;formatter;python;snakemake,,The uncompromising Snakemake code formatter,https://github.com/snakemake/snakefmt,0,0,0.0,0,0,0.0053814629299995,0.0,0.0,0.0,1.0,1.0,0.0,ml,1.05,0.2636301072152999,snakefmt,0.0,,,0.1845410750507099
