repo,stars,forks,watchers,open_issues,language,license,archived,disabled,created_at,updated_at,pushed_at,size_kb,has_wiki,has_pages,default_branch,topics,homepage,description,html_url
deepchem/deepchem,6289,1927,141,835,Python,MIT,False,False,2015-09-24T23:20:28Z,2025-10-28T17:55:39Z,2025-10-27T18:42:30Z,595246,True,False,master,biology;deep-learning;drug-discovery;hacktoberfest;materials-science;quantum-chemistry,https://deepchem.io/,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology",https://github.com/deepchem/deepchem
PennyLaneAI/pennylane,2857,706,47,444,Python,Apache-2.0,False,False,2018-04-17T16:45:42Z,2025-10-29T18:36:15Z,2025-10-29T22:20:41Z,150808,False,False,master,autograd;automatic-differentiation;cirq;deep-learning;differentiable-computing;jax;machine-learning;neural-network;optimization;python;pytorch;qiskit;qml;quantum;quantum-chemistry;quantum-computing;quantum-machine-learning;tensorflow,https://pennylane.ai,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Built by researchers, for research.",https://github.com/PennyLaneAI/pennylane
chemprop/chemprop,2149,692,34,58,Python,NOASSERTION,False,False,2019-01-25T23:33:22Z,2025-10-29T04:05:10Z,2025-10-13T17:38:38Z,897809,True,False,main,chemistry;drug-discovery;machine-learning;neural-networks,https://chemprop.csail.mit.edu,Message Passing Neural Networks for Molecule Property Prediction,https://github.com/chemprop/chemprop
facebookresearch/fairchem,1801,400,37,67,Python,NOASSERTION,False,False,2019-09-26T04:47:27Z,2025-10-29T20:41:05Z,2025-10-29T23:01:22Z,62244,True,True,main,,https://fair-chem.github.io/,FAIR Chemistry's library of machine learning methods for chemistry,https://github.com/facebookresearch/fairchem
pyscf/pyscf,1460,650,77,212,Python,Apache-2.0,False,False,2014-05-02T18:42:25Z,2025-10-29T06:39:51Z,2025-10-22T15:03:11Z,87429,True,False,master,,,Python module for quantum chemistry,https://github.com/pyscf/pyscf
aspuru-guzik-group/selfies,803,138,22,5,Python,Apache-2.0,False,False,2019-05-31T16:33:37Z,2025-10-28T17:33:35Z,2025-05-17T21:27:32Z,16534,True,False,master,,,"Robust representation of semantically constrained graphs, in particular for molecules in chemistry",https://github.com/aspuru-guzik-group/selfies
awslabs/dgl-lifesci,776,161,14,32,Python,Apache-2.0,False,False,2020-04-23T07:14:21Z,2025-10-28T12:46:39Z,2023-11-01T19:32:07Z,986,True,False,master,bioinformatics;cheminformatics;deep-learning;dgl;drug-discovery;geometric-deep-learning;graph-neural-networks;molecule,,Python package for graph neural networks in chemistry and biology,https://github.com/awslabs/dgl-lifesci
AstraZeneca/chemicalx,754,97,20,10,Python,Apache-2.0,False,False,2021-12-06T15:32:55Z,2025-10-26T08:22:49Z,2023-09-11T08:01:43Z,21369,False,False,main,biology;chemistry;deep-chemistry;deep-learning;drug;drug-discovery;drug-interaction;drug-pair;geometric-deep-learning;geometry;graph-neural-network;machine-learning;pharma;polypharmacy;pytorch;smiles;smiles-strings;torch;torchdrug,https://chemicalx.readthedocs.io,A PyTorch and TorchDrug based deep learning library for drug pair scoring. (KDD 2022),https://github.com/AstraZeneca/chemicalx
Mariewelt/OpenChem,725,120,35,17,Python,MIT,False,False,2018-07-10T01:27:33Z,2025-10-28T06:33:52Z,2023-11-26T05:03:36Z,170218,True,True,master,computational-biology;computational-chemistry;deep-learning;deep-neural-networks;drug-design;drug-discovery;graph-convolutional-networks;machine-learning;predictive-modeling;pytorch;qsar,https://mariewelt.github.io/OpenChem/,OpenChem: Deep Learning toolkit for Computational Chemistry and Drug Design Research,https://github.com/Mariewelt/OpenChem
CalebBell/thermo,703,121,42,9,Python,MIT,False,False,2016-07-01T16:04:56Z,2025-10-26T17:12:42Z,2025-10-26T18:50:11Z,47800,True,False,master,chemical-engineering;cheminformatics;chemistry;combustion;density;environmental-engineering;equation-of-state;heat-capacity;mechanical-engineering;molecule;physics;process-simulation;solubility;surface-tension;thermal-conductivity;thermodynamics;vapor-pressure;viscosity,,Thermodynamics and Phase Equilibrium component of Chemical Engineering Design Library (ChEDL),https://github.com/CalebBell/thermo
chainer/chainer-chemistry,675,132,50,31,Python,MIT,False,False,2017-11-28T10:35:09Z,2025-10-26T15:34:54Z,2023-04-20T05:13:47Z,2388,True,False,master,biology;chainer;chemistry;deep-learning;graph-convolutional-networks;neural-network;python,,Chainer Chemistry: A Library for Deep Learning in Biology and Chemistry,https://github.com/chainer/chainer-chemistry
bjodah/chempy,611,81,16,34,Python,BSD-2-Clause,False,False,2015-05-25T16:49:18Z,2025-10-22T16:26:36Z,2025-09-22T07:54:32Z,17908,True,True,master,chemical-formulas;chemical-kinetics;chemical-reaction-model;chemistry;physical-chemistry;python;speciation,,⚗ A package useful for chemistry written in Python,https://github.com/bjodah/chempy
MolecularAI/REINVENT4,594,173,20,2,Python,Apache-2.0,False,False,2023-10-20T06:43:16Z,2025-10-29T08:30:59Z,2025-10-22T06:08:39Z,1313229,False,False,main,ai;astrazeneca;cheminformatics;chemistry;deep-learning;denovo-design;drug-design;drug-discovery;generative-ai;ml;molecule-generation;neural-networks;reinforcement-learning;transfer-learning,,"AI molecular design tool for de novo design, scaffold hopping, R-group replacement, linker design and molecule optimization.",https://github.com/MolecularAI/REINVENT4
BenevolentAI/guacamol,483,95,14,13,Python,MIT,False,False,2018-11-16T12:45:21Z,2025-10-22T09:20:16Z,2024-02-11T08:59:38Z,98,True,False,master,,,Benchmarks for generative chemistry,https://github.com/BenevolentAI/guacamol
ReactionMechanismGenerator/RMG-Py,483,246,46,56,Python,NOASSERTION,False,False,2009-10-09T21:16:17Z,2025-10-22T16:25:19Z,2025-10-27T06:30:55Z,188833,False,True,main,chemistry;chemistry-discovery;kinetics;python;reactions;thermodynamics,http://reactionmechanismgenerator.github.io/RMG-Py/,Python version of the amazing Reaction Mechanism Generator (RMG).,https://github.com/ReactionMechanismGenerator/RMG-Py
mcs07/PubChemPy,462,119,18,30,Python,MIT,False,False,2013-01-06T02:35:45Z,2025-10-28T17:33:33Z,2025-09-08T20:52:27Z,531,False,False,main,cheminformatics;chemistry;pubchem;python,http://docs.pubchempy.org,Python wrapper for the PubChem PUG REST API.,https://github.com/mcs07/PubChemPy
MolSSI/cookiecutter-cms,440,91,24,30,Python,MIT,False,False,2018-03-15T14:52:43Z,2025-10-28T21:28:16Z,2025-10-27T01:23:34Z,358,True,False,main,computational-chemistry;conda-environment;conda-forge;cookiecutter;github-actions;molecular-sciences;pytest;python-packages,,Python-centric Cookiecutter for Molecular Computational Chemistry Packages,https://github.com/MolSSI/cookiecutter-cms
chembl/chembl_webresource_client,423,97,31,30,Python,NOASSERTION,False,False,2014-04-10T15:00:44Z,2025-10-21T09:34:36Z,2025-01-26T18:07:38Z,2282,True,False,master,chembl;cheminformatics;chemistry;chemoinformatics;python;rest;rest-client,https://www.ebi.ac.uk/chembl/api/data/docs,Official Python client for accessing ChEMBL API,https://github.com/chembl/chembl_webresource_client
dewberryants/asciiMol,388,12,4,0,Python,BSD-2-Clause,False,False,2020-09-03T12:48:52Z,2025-10-24T00:36:07Z,2025-02-17T08:08:58Z,778,True,False,master,ascii;cheminformatics;chemistry;molecules;visualization,,Curses based ASCII molecule viewer for terminals.,https://github.com/dewberryants/asciiMol
