repo,description,language,license,stars,forks,watchers,open_issues,closed_issues,issue_resolution_rate,closed_issues_last_window,open_created_last_window,issue_resolution_rate_last_window,created_at,updated_at,pushed_at,days_since_last_update,commits_last_180_days,contributors_count,archived,scraped_at,commits_window,contributors,popularity_raw,stars_n,commits_n,contributors_n,issues_n,staleness_n,composite_score
plotly/dash,Data Apps & Dashboards for Python. No JavaScript Required.,Python,MIT,24192,2222,422,577,1488,0.7205811138014527,60,49,0.5504587155963303,2015-04-10T01:53:08Z,2025-10-23T18:16:45Z,2025-10-23T15:32:05Z,0,346,189,False,2025-10-24T02:57:56Z,346,189,17421.0,1.0,0.7092705888458761,0.8131527918069997,0.7205811138014527,1.0,0.8386930122334368
galaxyproject/galaxy,Data intensive science for everyone.,Python,NOASSERTION,1633,1095,63,2587,4682,0.6441051038657312,271,201,0.5741525423728814,2015-02-23T14:18:06Z,2025-10-23T15:21:57Z,2025-10-23T21:54:31Z,0,3815,540,False,2025-10-24T02:58:31Z,3815,540,1368.3999999999999,0.4929093245558225,1.0,1.0,0.6441051038657312,1.0,0.8198430967188152
PennyLaneAI/pennylane,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Built by researchers, for research. ",Python,Apache-2.0,2854,705,47,445,1282,0.7423277359583093,111,39,0.74,2018-04-17T16:45:42Z,2025-10-23T20:36:17Z,2025-10-24T01:17:09Z,0,812,208,False,2025-10-24T02:54:46Z,812,208,2143.5,0.5979089217041111,0.8125094226363053,0.8301716398435953,0.7423277359583093,1.0,0.7714966564397494
biopython/biopython,Official git repository for Biopython (originally converted from CVS),Python,NOASSERTION,4779,1839,166,565,1317,0.6997874601487779,29,15,0.6590909090909091,2009-03-15T21:09:53Z,2025-10-22T17:56:34Z,2025-10-21T13:33:46Z,2,70,512,False,2025-10-24T02:57:59Z,70,512,3729.7,0.6948794330246497,0.5168790553083339,0.9905105622114376,0.6997874601487779,0.99933598937583,0.7554689805960051
deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology",Python,MIT,6274,1924,141,835,1247,0.5989433237271854,1,21,0.0454545454545454,2015-09-24T23:20:28Z,2025-10-24T00:52:09Z,2025-10-15T18:56:09Z,8,36,258,False,2025-10-24T02:54:38Z,36,258,4790.7,0.7460832993460871,0.437848464656216,0.8684722448803315,0.5989433237271854,0.99734395750332,0.7026768965300685
pyscf/pyscf,Python module for quantum chemistry,Python,Apache-2.0,1454,649,77,213,1489,0.8748531139835488,57,40,0.5876288659793815,2014-05-02T18:42:25Z,2025-10-23T10:28:11Z,2025-10-22T15:03:11Z,1,86,186,False,2025-10-24T02:54:48Z,86,186,1155.3,0.47107832707187025,0.5415218679443019,0.8103108843020467,0.8748531139835488,0.999667994687915,0.6869225363958785
deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics,Python,LGPL-3.0,1776,575,46,110,852,0.8856548856548857,51,18,0.7391304347826086,2017-12-12T15:23:44Z,2025-10-23T11:41:36Z,2025-10-20T22:23:27Z,3,154,83,False,2025-10-24T02:51:27Z,154,83,1362.7999999999997,0.5086949060096537,0.6115497492532624,0.6674085745631804,0.8856548856548857,0.999003984063745,0.6796619387111316
scverse/scanpy,Single-cell analysis in Python. Scales to >100M cells.,Python,BSD-3-Clause,2235,674,48,583,1418,0.7086456771614192,76,34,0.6909090909090909,2017-01-29T11:31:11Z,2025-10-23T20:02:01Z,2025-10-21T08:54:16Z,2,81,165,False,2025-10-24T02:58:04Z,81,165,1704.1,0.5519263616039385,0.5343448129433443,0.7890403412985221,0.7086456771614192,0.99933598937583,0.6750583294732472
MDAnalysis/mdanalysis,MDAnalysis is a Python library to analyze molecular dynamics simulations.,Python,NOASSERTION,1477,733,41,486,1924,0.7983402489626557,34,12,0.7391304347826086,2015-04-04T00:39:41Z,2025-10-23T12:10:37Z,2025-10-20T13:59:57Z,3,43,254,False,2025-10-24T02:51:30Z,43,254,1184.5999999999997,0.47402937535319206,0.4588588445550547,0.8656930019671392,0.7983402489626557,0.999003984063745,0.6692967412196195
hail-is/hail,Cloud-native genomic dataframes and batch computing,Python,MIT,1032,256,50,288,2284,0.8880248833592534,53,46,0.5353535353535354,2015-10-27T20:55:42Z,2025-10-23T16:23:38Z,2025-10-23T19:00:19Z,0,187,100,False,2025-10-24T02:59:00Z,187,100,778.6,0.4066270833621459,0.6349543604018164,0.7003183537245065,0.8880248833592534,1.0,0.6686786818760052
danforthcenter/plantcv,Plant phenotyping with image analysis,Python,MPL-2.0,731,271,45,115,576,0.8335745296671491,58,20,0.7435897435897436,2014-03-14T18:24:23Z,2025-10-23T06:48:29Z,2025-10-22T13:02:58Z,1,625,73,False,2025-10-24T02:59:19Z,625,73,570.4,0.34181772980245956,0.7808152224942058,0.6447754411341949,0.8335745296671491,0.999667994687915,0.666855077276579
