,repo,stars,forks,watchers,open_issues,language,license,archived,disabled,created_at,updated_at,pushed_at,size_kb,has_wiki,has_pages,default_branch,topics,homepage,description,html_url,contributors,closed_issues,issue_resolution_rate,days_since_last_update,commits_window,stars_n,commits_n,contributors_n,issues_n,staleness_n,readme_score,ci_test_score,domain,domain_weight,composite_v2,key,bench_score,pass_score,latency_score,final_score
count,923,923.0,923.0,923.0,923.0,923,835,923,923,923,923,923,923.0,923,923,923,629,465,917,923,923.0,923.0,818.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923.0,923,923.0,923.0,923,923.0,10.0,10.0,923.0
unique,923,,,,,1,17,1,1,923,923,922,,2,2,27,622,465,917,923,,,,,,,,,,,,,5,,,920,,,,
top,plotly/dash,,,,,Python,MIT,False,False,2015-04-10T01:53:08Z,2025-10-28T14:45:31Z,2025-10-27T16:27:43Z,,True,False,main,bioinformatics;bioinformatics-pipeline;genomics;global-health;infectious-diseases;next-generation-sequencing;pathogen;research;sequencing,https://plotly.com/dash,Data Apps & Dashboards for Python. No JavaScript Required.,https://github.com/plotly/dash,,,,,,,,,,,,,bio,,,midas,,,,
freq,1,,,,,923,365,923,923,1,1,2,,721,686,442,3,1,1,1,,,,,,,,,,,,,324,,,2,,,,
mean,,292.6478873239437,69.36186348862405,12.043336944745395,32.71180931744312,,,,,,,,139242.3900325027,,,,,,,,0.0,0.0,0.0,270.3196099674973,0.0,0.010045035905114364,0.0,0.0,0.0,0.7459402161959612,0.7166556879739978,0.0,,0.9805525460455038,0.18093197366669939,,0.010443770314192849,1.0,0.8798666666666666,0.1297855126609474
std,,966.7339364400308,212.66463862696375,27.079545925067134,110.3906853272798,,,,,,,,1288031.7202015796,,,,,,,,0.0,0.0,0.0,305.4152408151735,0.0,0.04002044777446725,0.0,0.0,0.0,0.2870443992623812,0.3311686231535676,0.0,,0.04981982941506957,0.059502746292951596,,0.10027179545004579,0.0,0.31165061158884916,0.054874951679632
min,,50.0,0.0,0.0,0.0,,,,,,,,13.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,,0.9,0.0152581087592304,,0.0,1.0,0.0,0.0106806761314612
25%,,73.0,13.0,3.0,3.0,,,,,,,,4140.0,,,,,,,,0.0,0.0,0.0,17.0,0.0,0.0009521443947673,0.0,0.0,0.0,0.5620300751879699,0.50312,0.0,,0.95,0.13453166138109807,,0.0,1.0,0.9473333333333334,0.0941721629667686
50%,,115.0,25.0,6.0,9.0,,,,,,,,21369.0,,,,,,,,0.0,0.0,0.0,135.0,0.0,0.0026908428547772,0.0,0.0,0.0,0.8731203007518797,0.8663199999999999,0.0,,1.0,0.1930935970876022,,0.0,1.0,0.9973333333333332,0.1351655179613215
75%,,241.5,52.0,12.0,28.0,,,,,,,,91167.0,,,,,,,,0.0,0.0,0.0,466.0,0.0,0.007927637025997601,0.0,0.0,0.0,0.9840225563909776,1.0,0.0,,1.0,0.22988719470061142,,0.0,1.0,0.9986666666666668,0.16120136726148449
max,,24206.0,4247.0,496.0,2595.0,,,,,,,,38673975.0,,,,,,,,0.0,0.0,0.0,1064.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.05,0.389906015037594,,1.0,1.0,1.0,0.5728142105263158
